date,airline,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,flight_duration,distance,delay_category,day_of_week,month,hour
2024-01-01 22:00:00,EK,SYD,NRT,1228,1208,1418,1396,-20,-22,1.9,1485,Early/On-time,Monday,1,22
2024-01-01 23:00:00,LH,LHR,JFK,1051,1034,1551,1530,-17,-21,5.0,3978,Early/On-time,Monday,1,23
2024-01-02 00:00:00,SQ,LHR,JFK,45,97,395,457,52,62,3.5,2786,Moderate Delay,Tuesday,1,0
2024-01-02 01:00:00,CX,LHR,FRA,2104,2119,2574,2605,15,31,4.7,3797,Minor Delay,Tuesday,1,1
2024-01-02 02:00:00,EK,FRA,JFK,1428,1428,1618,1607,0,-11,1.9,1536,Early/On-time,Tuesday,1,2
2024-01-02 03:00:00,AA,DXB,JFK,1746,1789,2046,2095,43,49,3.0,2405,Moderate Delay,Tuesday,1,3
2024-01-02 04:00:00,BA,LAX,LAX,1546,1526,1676,1653,-20,-23,1.3,1030,Early/On-time,Tuesday,1,4
2024-01-02 05:00:00,UA,LAX,LAX,826,829,1186,1175,3,-11,3.6,2843,Minor Delay,Tuesday,1,5
2024-01-02 06:00:00,SQ,SYD,LHR,24,38,384,399,14,15,3.6,2899,Minor Delay,Tuesday,1,6
2024-01-02 07:00:00,AA,SYD,DXB,1015,1012,1565,1554,-3,-11,5.5,4397,Early/On-time,Tuesday,1,7
2024-01-02 08:00:00,DL,LHR,FRA,815,828,1125,1123,13,-2,3.1,2482,Minor Delay,Tuesday,1,8
2024-01-02 09:00:00,AA,FRA,JFK,2235,2239,2575,2572,4,-3,3.4,2724,Minor Delay,Tuesday,1,9
2024-01-02 10:00:00,BA,LHR,LHR,1024,1004,1214,1184,-20,-30,1.9,1529,Early/On-time,Tuesday,1,10
2024-01-02 11:00:00,DL,FRA,FRA,1240,1255,1560,1569,15,9,3.2,2541,Minor Delay,Tuesday,1,11
2024-01-02 12:00:00,SQ,LHR,JFK,100,80,300,267,-20,-33,2.0,1620,Early/On-time,Tuesday,1,12
2024-01-02 13:00:00,BA,JFK,CDG,1304,1318,1564,1575,14,11,2.6,2115,Minor Delay,Tuesday,1,13
2024-01-02 14:00:00,KA,JFK,HKG,540,591,810,854,51,44,2.7,2174,Moderate Delay,Tuesday,1,14
2024-01-02 15:00:00,UA,NRT,CDG,719,720,929,933,1,4,2.1,1647,Minor Delay,Tuesday,1,15
2024-01-02 16:00:00,SQ,LHR,SIN,1704,1684,1964,1949,-20,-15,2.6,2062,Early/On-time,Tuesday,1,16
2024-01-02 17:00:00,KA,DXB,FRA,1535,1541,1735,1743,6,8,2.0,1624,Minor Delay,Tuesday,1,17
2024-01-02 18:00:00,EK,NRT,DXB,2028,2014,2228,2212,-14,-16,2.0,1620,Early/On-time,Tuesday,1,18
2024-01-02 19:00:00,SQ,SYD,SIN,1147,1174,1527,1552,27,25,3.8,3076,Moderate Delay,Tuesday,1,19
2024-01-02 20:00:00,EK,CDG,LHR,1033,1038,1303,1300,5,-3,2.7,2175,Minor Delay,Tuesday,1,20
2024-01-02 21:00:00,DL,LHR,LHR,557,618,847,900,61,53,2.9,2347,Major Delay,Tuesday,1,21
2024-01-02 22:00:00,KA,JFK,JFK,247,291,317,368,44,51,0.7,542,Moderate Delay,Tuesday,1,22
2024-01-02 23:00:00,UA,CDG,SIN,1317,1322,1617,1605,5,-12,3.0,2423,Minor Delay,Tuesday,1,23
2024-01-03 00:00:00,BA,FRA,JFK,101,132,421,452,31,31,3.2,2530,Moderate Delay,Wednesday,1,0
2024-01-03 01:00:00,QF,CDG,FRA,1015,1014,1215,1211,-1,-4,2.0,1601,Early/On-time,Wednesday,1,1
2024-01-03 02:00:00,AA,DXB,LHR,2128,2139,2638,2654,11,16,5.1,4085,Minor Delay,Wednesday,1,2
2024-01-03 03:00:00,CX,LHR,HKG,232,232,292,278,0,-14,0.6,500,Early/On-time,Wednesday,1,3
2024-01-03 04:00:00,UA,LAX,LHR,1715,1747,2065,2097,32,32,3.5,2784,Moderate Delay,Wednesday,1,4
2024-01-03 05:00:00,KA,CDG,LAX,34,86,374,429,52,55,3.4,2712,Moderate Delay,Wednesday,1,5
2024-01-03 06:00:00,QF,LAX,SYD,2346,2379,2666,2680,33,14,3.2,2541,Moderate Delay,Wednesday,1,6
2024-01-03 07:00:00,UA,FRA,DXB,42,79,312,339,37,27,2.7,2176,Moderate Delay,Wednesday,1,7
2024-01-03 08:00:00,KA,NRT,SIN,1141,1178,1461,1498,37,37,3.2,2550,Moderate Delay,Wednesday,1,8
2024-01-03 09:00:00,LH,LAX,JFK,1416,1442,1776,1807,26,31,3.6,2868,Moderate Delay,Wednesday,1,9
2024-01-03 10:00:00,LH,NRT,SYD,403,383,563,544,-20,-19,1.6,1274,Early/On-time,Wednesday,1,10
2024-01-03 11:00:00,EK,JFK,SYD,548,609,838,904,61,66,2.9,2299,Major Delay,Wednesday,1,11
2024-01-03 12:00:00,UA,LHR,CDG,1503,1567,1733,1787,64,54,2.3,1816,Major Delay,Wednesday,1,12
2024-01-03 13:00:00,LH,CDG,NRT,1150,1152,1260,1247,2,-13,1.1,906,Minor Delay,Wednesday,1,13
2024-01-03 14:00:00,KA,JFK,CDG,1124,1123,1464,1463,-1,-1,3.4,2717,Early/On-time,Wednesday,1,14
2024-01-03 15:00:00,EK,JFK,CDG,232,260,412,428,28,16,1.8,1435,Moderate Delay,Wednesday,1,15
2024-01-03 16:00:00,KA,SIN,DXB,2213,2239,2273,2291,26,18,0.6,502,Moderate Delay,Wednesday,1,16
2024-01-03 17:00:00,EK,HKG,LAX,123,126,303,315,3,12,1.8,1460,Minor Delay,Wednesday,1,17
2024-01-03 18:00:00,UA,DXB,LHR,610,590,760,741,-20,-19,1.5,1201,Early/On-time,Wednesday,1,18
2024-01-03 19:00:00,QF,NRT,CDG,124,143,504,518,19,14,3.8,3028,Moderate Delay,Wednesday,1,19
2024-01-03 20:00:00,BA,SIN,FRA,2027,2053,2297,2317,26,20,2.7,2153,Moderate Delay,Wednesday,1,20
2024-01-03 21:00:00,SQ,HKG,LHR,606,637,1026,1063,31,37,4.2,3382,Moderate Delay,Wednesday,1,21
2024-01-03 22:00:00,QF,DXB,LAX,1048,1068,1218,1240,20,22,1.7,1333,Moderate Delay,Wednesday,1,22
2024-01-03 23:00:00,DL,NRT,JFK,1035,1036,1395,1384,1,-11,3.6,2874,Minor Delay,Wednesday,1,23
2024-01-04 00:00:00,KA,LHR,NRT,1309,1348,1909,1929,39,20,6.0,4839,Moderate Delay,Thursday,1,0
2024-01-04 01:00:00,DL,DXB,LHR,248,259,538,567,11,29,2.9,2356,Minor Delay,Thursday,1,1
2024-01-04 02:00:00,QF,CDG,SIN,1335,1332,1695,1680,-3,-15,3.6,2861,Early/On-time,Thursday,1,2
2024-01-04 03:00:00,EK,JFK,DXB,1030,1034,1370,1379,4,9,3.4,2693,Minor Delay,Thursday,1,3
2024-01-04 04:00:00,SQ,HKG,SYD,318,298,388,383,-20,-5,0.7,577,Early/On-time,Thursday,1,4
2024-01-04 05:00:00,SQ,HKG,JFK,1617,1621,1937,1942,4,5,3.2,2585,Minor Delay,Thursday,1,5
2024-01-04 06:00:00,CX,HKG,LAX,1548,1578,1838,1862,30,24,2.9,2306,Moderate Delay,Thursday,1,6
2024-01-04 07:00:00,SQ,NRT,CDG,205,225,425,431,20,6,2.2,1740,Moderate Delay,Thursday,1,7
2024-01-04 08:00:00,BA,CDG,FRA,927,982,1067,1108,55,41,1.4,1115,Moderate Delay,Thursday,1,8
2024-01-04 09:00:00,SQ,DXB,FRA,2006,2008,2346,2351,2,5,3.4,2693,Minor Delay,Thursday,1,9
2024-01-04 10:00:00,QF,JFK,NRT,1437,1461,1567,1605,24,38,1.3,1027,Moderate Delay,Thursday,1,10
2024-01-04 11:00:00,CX,CDG,LAX,756,789,1276,1306,33,30,5.2,4133,Moderate Delay,Thursday,1,11
2024-01-04 12:00:00,QF,SIN,JFK,1711,1791,1971,2046,80,75,2.6,2114,Major Delay,Thursday,1,12
2024-01-04 13:00:00,QF,LHR,SIN,240,254,340,360,14,20,1.0,776,Minor Delay,Thursday,1,13
2024-01-04 14:00:00,AA,LAX,SYD,649,629,839,813,-20,-26,1.9,1486,Early/On-time,Thursday,1,14
2024-01-04 15:00:00,CX,CDG,CDG,933,968,1153,1190,35,37,2.2,1721,Moderate Delay,Thursday,1,15
2024-01-04 16:00:00,QF,SIN,DXB,1924,1989,2474,2539,65,65,5.5,4412,Major Delay,Thursday,1,16
2024-01-04 17:00:00,AA,JFK,HKG,816,816,956,952,0,-4,1.4,1115,Early/On-time,Thursday,1,17
2024-01-04 18:00:00,AA,LAX,HKG,1352,1387,1592,1627,35,35,2.4,1883,Moderate Delay,Thursday,1,18
2024-01-04 19:00:00,CX,LAX,CDG,2232,2278,2412,2475,46,63,1.8,1462,Moderate Delay,Thursday,1,19
2024-01-04 20:00:00,DL,CDG,JFK,1322,1362,1632,1678,40,46,3.1,2499,Moderate Delay,Thursday,1,20
2024-01-04 21:00:00,EK,HKG,CDG,1008,1021,1188,1211,13,23,1.8,1478,Minor Delay,Thursday,1,21
2024-01-04 22:00:00,BA,SYD,LAX,5,-5,115,96,-10,-19,1.1,860,Early/On-time,Thursday,1,22
2024-01-04 23:00:00,EK,JFK,HKG,301,308,531,548,7,17,2.3,1804,Minor Delay,Thursday,1,23
2024-01-05 00:00:00,SQ,HKG,NRT,537,560,747,776,23,29,2.1,1700,Moderate Delay,Friday,1,0
2024-01-05 01:00:00,BA,JFK,LAX,2108,2145,2288,2311,37,23,1.8,1407,Moderate Delay,Friday,1,1
2024-01-05 02:00:00,SQ,SYD,HKG,2102,2122,2282,2307,20,25,1.8,1461,Moderate Delay,Friday,1,2
2024-01-05 03:00:00,QF,LHR,SIN,415,414,815,809,-1,-6,4.0,3184,Early/On-time,Friday,1,3
2024-01-05 04:00:00,KA,SYD,SYD,224,250,434,445,26,11,2.1,1680,Moderate Delay,Friday,1,4
2024-01-05 05:00:00,CX,FRA,FRA,123,158,233,269,35,36,1.1,865,Moderate Delay,Friday,1,5
2024-01-05 06:00:00,BA,CDG,LAX,246,267,436,462,21,26,1.9,1537,Moderate Delay,Friday,1,6
2024-01-05 07:00:00,BA,CDG,FRA,828,813,1088,1074,-15,-14,2.6,2054,Early/On-time,Friday,1,7
2024-01-05 08:00:00,QF,SIN,FRA,1843,1847,1923,1926,4,3,0.8,663,Minor Delay,Friday,1,8
2024-01-05 09:00:00,DL,HKG,HKG,1854,1892,2304,2339,38,35,4.5,3625,Moderate Delay,Friday,1,9
2024-01-05 10:00:00,AA,SIN,LAX,1639,1619,1999,2003,-20,4,3.6,2867,Early/On-time,Friday,1,10
2024-01-05 11:00:00,QF,FRA,SYD,1725,1705,2155,2124,-20,-31,4.3,3430,Early/On-time,Friday,1,11
2024-01-05 12:00:00,LH,SYD,SIN,1037,1092,1337,1400,55,63,3.0,2392,Moderate Delay,Friday,1,12
2024-01-05 13:00:00,AA,CDG,LHR,1134,1159,1194,1219,25,25,0.6,500,Moderate Delay,Friday,1,13
2024-01-05 14:00:00,CX,NRT,NRT,222,250,662,682,28,20,4.4,3535,Moderate Delay,Friday,1,14
2024-01-05 15:00:00,AA,SYD,FRA,1703,1683,1843,1823,-20,-20,1.4,1136,Early/On-time,Friday,1,15
2024-01-05 16:00:00,DL,SYD,SYD,2358,2390,2508,2527,32,19,1.5,1217,Moderate Delay,Friday,1,16
2024-01-05 17:00:00,AA,FRA,DXB,541,559,811,824,18,13,2.7,2156,Moderate Delay,Friday,1,17
2024-01-05 18:00:00,CX,LHR,DXB,613,593,1033,1013,-20,-20,4.2,3378,Early/On-time,Friday,1,18
2024-01-05 19:00:00,DL,JFK,LHR,52,104,432,469,52,37,3.8,3053,Moderate Delay,Friday,1,19
2024-01-05 20:00:00,EK,FRA,LHR,555,569,915,934,14,19,3.6,2906,Minor Delay,Friday,1,20
2024-01-05 21:00:00,BA,JFK,LHR,1746,1745,1956,1946,-1,-10,2.1,1688,Early/On-time,Friday,1,21
2024-01-05 22:00:00,BA,CDG,NRT,1238,1237,1448,1433,-1,-15,2.1,1672,Early/On-time,Friday,1,22
2024-01-05 23:00:00,SQ,FRA,NRT,2106,2086,2396,2366,-20,-30,2.9,2345,Early/On-time,Friday,1,23
2024-01-06 00:00:00,EK,JFK,SIN,1807,1834,2037,2085,27,48,2.3,1869,Moderate Delay,Saturday,1,0
2024-01-06 01:00:00,EK,SIN,FRA,641,658,1001,999,17,-2,3.6,2889,Moderate Delay,Saturday,1,1
2024-01-06 02:00:00,AA,FRA,JFK,1850,1854,2200,2208,4,8,3.5,2830,Minor Delay,Saturday,1,2
2024-01-06 03:00:00,BA,CDG,DXB,818,866,1138,1179,48,41,3.2,2591,Moderate Delay,Saturday,1,3
2024-01-06 04:00:00,CX,FRA,HKG,201,181,261,238,-20,-23,0.6,500,Early/On-time,Saturday,1,4
2024-01-06 05:00:00,UA,CDG,HKG,2246,2239,2516,2515,-7,-1,2.7,2127,Early/On-time,Saturday,1,5
2024-01-06 06:00:00,UA,FRA,LHR,1100,1085,1340,1330,-15,-10,2.4,1891,Early/On-time,Saturday,1,6
2024-01-06 07:00:00,DL,JFK,CDG,1941,1942,2211,2206,1,-5,2.7,2168,Minor Delay,Saturday,1,7
2024-01-06 08:00:00,BA,LHR,DXB,2337,2349,2497,2496,12,-1,1.6,1245,Minor Delay,Saturday,1,8
2024-01-06 09:00:00,BA,DXB,JFK,1753,1775,1833,1861,22,28,0.8,675,Moderate Delay,Saturday,1,9
2024-01-06 10:00:00,UA,JFK,JFK,712,712,1022,1027,0,5,3.1,2463,Early/On-time,Saturday,1,10
2024-01-06 11:00:00,BA,HKG,HKG,841,825,1051,1033,-16,-18,2.1,1643,Early/On-time,Saturday,1,11
2024-01-06 12:00:00,AA,LAX,CDG,1243,1303,1563,1627,60,64,3.2,2574,Moderate Delay,Saturday,1,12
2024-01-06 13:00:00,LH,LHR,JFK,723,805,893,971,82,78,1.7,1329,Major Delay,Saturday,1,13
2024-01-06 14:00:00,KA,SIN,DXB,2131,2145,2561,2567,14,6,4.3,3415,Minor Delay,Saturday,1,14
2024-01-06 15:00:00,EK,SYD,FRA,929,917,1309,1297,-12,-12,3.8,3001,Early/On-time,Saturday,1,15
2024-01-06 16:00:00,SQ,JFK,SYD,1605,1659,1895,1954,54,59,2.9,2296,Moderate Delay,Saturday,1,16
2024-01-06 17:00:00,DL,FRA,CDG,637,617,857,840,-20,-17,2.2,1786,Early/On-time,Saturday,1,17
2024-01-06 18:00:00,LH,JFK,JFK,1632,1632,1992,1997,0,5,3.6,2852,Early/On-time,Saturday,1,18
2024-01-06 19:00:00,UA,NRT,CDG,2243,2233,2543,2526,-10,-17,3.0,2392,Early/On-time,Saturday,1,19
2024-01-06 20:00:00,EK,LHR,CDG,1754,1734,2034,2029,-20,-5,2.8,2238,Early/On-time,Saturday,1,20
2024-01-06 21:00:00,BA,DXB,FRA,2322,2323,2702,2700,1,-2,3.8,3042,Minor Delay,Saturday,1,21
2024-01-06 22:00:00,SQ,SIN,DXB,109,94,539,523,-15,-16,4.3,3426,Early/On-time,Saturday,1,22
2024-01-06 23:00:00,BA,NRT,HKG,256,266,346,343,10,-3,0.9,747,Minor Delay,Saturday,1,23
2024-01-07 00:00:00,CX,CDG,FRA,1845,1855,1965,1974,10,9,1.2,949,Minor Delay,Sunday,1,0
2024-01-07 01:00:00,CX,NRT,JFK,14,6,164,161,-8,-3,1.5,1219,Early/On-time,Sunday,1,1
2024-01-07 02:00:00,SQ,JFK,LHR,2059,2058,2119,2125,-1,6,0.6,500,Early/On-time,Sunday,1,2
2024-01-07 03:00:00,SQ,SIN,FRA,2022,2025,2262,2280,3,18,2.4,1937,Minor Delay,Sunday,1,3
2024-01-07 04:00:00,UA,JFK,LHR,955,989,1275,1314,34,39,3.2,2600,Moderate Delay,Sunday,1,4
2024-01-07 05:00:00,SQ,CDG,LAX,2035,2040,2285,2292,5,7,2.5,1978,Minor Delay,Sunday,1,5
2024-01-07 06:00:00,AA,SYD,HKG,1356,1390,1536,1566,34,30,1.8,1465,Moderate Delay,Sunday,1,6
2024-01-07 07:00:00,BA,SIN,DXB,1200,1227,1590,1611,27,21,3.9,3126,Moderate Delay,Sunday,1,7
2024-01-07 08:00:00,LH,SYD,SYD,807,834,1077,1113,27,36,2.7,2140,Moderate Delay,Sunday,1,8
2024-01-07 09:00:00,QF,LHR,CDG,502,553,792,852,51,60,2.9,2342,Moderate Delay,Sunday,1,9
2024-01-07 10:00:00,SQ,LHR,LHR,513,493,903,873,-20,-30,3.9,3154,Early/On-time,Sunday,1,10
2024-01-07 11:00:00,DL,SYD,SYD,1816,1812,2046,2049,-4,3,2.3,1876,Early/On-time,Sunday,1,11
2024-01-07 12:00:00,CX,LHR,SYD,2033,2095,2543,2611,62,68,5.1,4060,Major Delay,Sunday,1,12
2024-01-07 13:00:00,AA,SIN,LHR,946,948,1136,1127,2,-9,1.9,1552,Minor Delay,Sunday,1,13
2024-01-07 14:00:00,EK,FRA,SYD,2205,2185,2705,2690,-20,-15,5.0,3997,Early/On-time,Sunday,1,14
2024-01-07 15:00:00,QF,HKG,CDG,204,207,334,327,3,-7,1.3,1025,Minor Delay,Sunday,1,15
2024-01-07 16:00:00,LH,LHR,SIN,1745,1759,2055,2045,14,-10,3.1,2517,Minor Delay,Sunday,1,16
2024-01-07 17:00:00,QF,LHR,LAX,2050,2030,2220,2199,-20,-21,1.7,1357,Early/On-time,Sunday,1,17
2024-01-07 18:00:00,SQ,JFK,LHR,1840,1890,2230,2282,50,52,3.9,3119,Moderate Delay,Sunday,1,18
2024-01-07 19:00:00,UA,SYD,CDG,439,428,629,617,-11,-12,1.9,1521,Early/On-time,Sunday,1,19
2024-01-07 20:00:00,CX,LAX,HKG,1028,1047,1318,1365,19,47,2.9,2290,Moderate Delay,Sunday,1,20
2024-01-07 21:00:00,CX,DXB,LHR,934,937,1104,1110,3,6,1.7,1349,Minor Delay,Sunday,1,21
2024-01-07 22:00:00,EK,NRT,CDG,1617,1597,1987,1968,-20,-19,3.7,2937,Early/On-time,Sunday,1,22
2024-01-07 23:00:00,UA,LHR,CDG,339,319,509,493,-20,-16,1.7,1344,Early/On-time,Sunday,1,23
2024-01-08 00:00:00,BA,NRT,FRA,2047,2029,2507,2485,-18,-22,4.6,3683,Early/On-time,Monday,1,0
2024-01-08 01:00:00,KA,SIN,SIN,1729,1771,1859,1910,42,51,1.3,1004,Moderate Delay,Monday,1,1
2024-01-08 02:00:00,AA,LAX,LHR,1714,1719,1794,1802,5,8,0.8,654,Minor Delay,Monday,1,2
2024-01-08 03:00:00,CX,DXB,DXB,52,47,422,420,-5,-2,3.7,2951,Early/On-time,Monday,1,3
2024-01-08 04:00:00,DL,SYD,CDG,1314,1296,1494,1470,-18,-24,1.8,1408,Early/On-time,Monday,1,4
2024-01-08 05:00:00,CX,HKG,LAX,715,760,965,995,45,30,2.5,1992,Moderate Delay,Monday,1,5
2024-01-08 06:00:00,QF,DXB,FRA,156,209,366,414,53,48,2.1,1677,Moderate Delay,Monday,1,6
2024-01-08 07:00:00,CX,DXB,CDG,1832,1877,1922,1969,45,47,0.9,687,Moderate Delay,Monday,1,7
2024-01-08 08:00:00,CX,HKG,LHR,1409,1433,1649,1669,24,20,2.4,1923,Moderate Delay,Monday,1,8
2024-01-08 09:00:00,KA,FRA,JFK,118,136,528,548,18,20,4.1,3264,Moderate Delay,Monday,1,9
2024-01-08 10:00:00,KA,SYD,CDG,336,316,716,694,-20,-22,3.8,3003,Early/On-time,Monday,1,10
2024-01-08 11:00:00,LH,JFK,NRT,49,51,329,335,2,6,2.8,2231,Minor Delay,Monday,1,11
2024-01-08 12:00:00,BA,NRT,JFK,1802,1792,2192,2173,-10,-19,3.9,3112,Early/On-time,Monday,1,12
2024-01-08 13:00:00,DL,LHR,CDG,2035,2015,2155,2136,-20,-19,1.2,940,Early/On-time,Monday,1,13
2024-01-08 14:00:00,CX,DXB,SYD,903,944,1113,1148,41,35,2.1,1674,Moderate Delay,Monday,1,14
2024-01-08 15:00:00,CX,SIN,CDG,10,0,310,285,-10,-25,3.0,2395,Early/On-time,Monday,1,15
2024-01-08 16:00:00,AA,HKG,HKG,1940,1985,2170,2214,45,44,2.3,1869,Moderate Delay,Monday,1,16
2024-01-08 17:00:00,KA,NRT,SYD,2132,2168,2352,2403,36,51,2.2,1753,Moderate Delay,Monday,1,17
2024-01-08 18:00:00,DL,LAX,LHR,1427,1453,1527,1539,26,12,1.0,799,Moderate Delay,Monday,1,18
2024-01-08 19:00:00,EK,HKG,LAX,331,359,391,420,28,29,0.6,500,Moderate Delay,Monday,1,19
2024-01-08 20:00:00,LH,LAX,JFK,656,648,1006,1005,-8,-1,3.5,2817,Early/On-time,Monday,1,20
2024-01-08 21:00:00,BA,SYD,DXB,615,680,895,983,65,88,2.8,2243,Major Delay,Monday,1,21
2024-01-08 22:00:00,UA,DXB,FRA,2108,2119,2468,2475,11,7,3.6,2901,Minor Delay,Monday,1,22
2024-01-08 23:00:00,BA,SIN,LAX,1710,1729,1910,1923,19,13,2.0,1562,Moderate Delay,Monday,1,23
2024-01-09 00:00:00,QF,LHR,SYD,1205,1196,1365,1345,-9,-20,1.6,1287,Early/On-time,Tuesday,1,0
2024-01-09 01:00:00,CX,LAX,FRA,958,941,1208,1202,-17,-6,2.5,2006,Early/On-time,Tuesday,1,1
2024-01-09 02:00:00,LH,NRT,JFK,2348,2372,2708,2724,24,16,3.6,2854,Moderate Delay,Tuesday,1,2
2024-01-09 03:00:00,QF,FRA,DXB,726,742,946,959,16,13,2.2,1768,Moderate Delay,Tuesday,1,3
2024-01-09 04:00:00,DL,SYD,NRT,911,898,1261,1230,-13,-31,3.5,2801,Early/On-time,Tuesday,1,4
2024-01-09 05:00:00,UA,FRA,NRT,1321,1301,1441,1429,-20,-12,1.2,993,Early/On-time,Tuesday,1,5
2024-01-09 06:00:00,KA,SYD,DXB,1339,1319,1569,1560,-20,-9,2.3,1838,Early/On-time,Tuesday,1,6
2024-01-09 07:00:00,LH,JFK,FRA,1947,1992,2187,2240,45,53,2.4,1929,Moderate Delay,Tuesday,1,7
2024-01-09 08:00:00,LH,NRT,LHR,2136,2128,2536,2512,-8,-24,4.0,3226,Early/On-time,Tuesday,1,8
2024-01-09 09:00:00,CX,FRA,FRA,1020,1020,1300,1306,0,6,2.8,2207,Early/On-time,Tuesday,1,9
2024-01-09 10:00:00,SQ,SIN,CDG,532,585,1002,1039,53,37,4.7,3746,Moderate Delay,Tuesday,1,10
2024-01-09 11:00:00,LH,DXB,FRA,2016,1996,2096,2076,-20,-20,0.8,652,Early/On-time,Tuesday,1,11
2024-01-09 12:00:00,AA,HKG,LHR,55,44,325,316,-11,-9,2.7,2129,Early/On-time,Tuesday,1,12
2024-01-09 13:00:00,UA,LHR,LAX,1828,1815,2098,2088,-13,-10,2.7,2179,Early/On-time,Tuesday,1,13
2024-01-09 14:00:00,UA,DXB,JFK,652,710,982,1045,58,63,3.3,2620,Moderate Delay,Tuesday,1,14
2024-01-09 15:00:00,AA,DXB,FRA,2339,2408,2489,2558,69,69,1.5,1186,Major Delay,Tuesday,1,15
2024-01-09 16:00:00,EK,SYD,JFK,1709,1741,2169,2182,32,13,4.6,3684,Moderate Delay,Tuesday,1,16
2024-01-09 17:00:00,AA,SIN,SYD,217,250,467,505,33,38,2.5,2012,Moderate Delay,Tuesday,1,17
2024-01-09 18:00:00,AA,SYD,NRT,1946,1939,2056,2049,-7,-7,1.1,912,Early/On-time,Tuesday,1,18
2024-01-09 19:00:00,UA,CDG,NRT,1051,1119,1301,1360,68,59,2.5,1983,Major Delay,Tuesday,1,19
2024-01-09 20:00:00,BA,LAX,LHR,412,430,622,625,18,3,2.1,1686,Moderate Delay,Tuesday,1,20
2024-01-09 21:00:00,UA,LHR,SYD,1826,1861,2426,2476,35,50,6.0,4783,Moderate Delay,Tuesday,1,21
2024-01-09 22:00:00,SQ,LAX,NRT,2009,2015,2389,2407,6,18,3.8,3049,Minor Delay,Tuesday,1,22
2024-01-09 23:00:00,CX,HKG,LHR,2331,2332,2591,2599,1,8,2.6,2049,Minor Delay,Tuesday,1,23
2024-01-10 00:00:00,QF,CDG,FRA,2340,2399,2580,2633,59,53,2.4,1888,Moderate Delay,Wednesday,1,0
2024-01-10 01:00:00,BA,NRT,SYD,144,170,514,515,26,1,3.7,2951,Moderate Delay,Wednesday,1,1
2024-01-10 02:00:00,KA,HKG,CDG,2102,2155,2472,2532,53,60,3.7,2998,Moderate Delay,Wednesday,1,2
2024-01-10 03:00:00,QF,HKG,CDG,321,338,381,401,17,20,0.6,500,Moderate Delay,Wednesday,1,3
2024-01-10 04:00:00,CX,JFK,CDG,926,911,1256,1238,-15,-18,3.3,2642,Early/On-time,Wednesday,1,4
